ruc,razon_social,nombre_comercial,anio,gore,fecha_inscripcion,fecha_inicio_actividades,anio_inicio_actividades,antiguedad_empresa,inicio_posterior_contratacion,primer_anio_contratacion,experiencia_contratacion,n_contratos,n_gores_anio,cmc,n_contratos_cmc_evaluables,n_supera_cmc,prop_supera_cmc,tipo_contribuyente,estado,condicion,fecha_baja,domicilio,actividad_principal,cantidad_rubros,actividades_economicas,sanciones_tcp_acum,penalidades_acum,inhabilitacion_judicial,inhabilitacion_administrativa,fecha_consulta_sunat,sunat_ok,tiene_info_sunat,tiene_info_proveedores_estado,puntaje_inco,rango_inco
20477156445,NJ PLUS CONSTRUCTORES GENERALES S.A.C.,-,2024,LA LIBERTAD,05/02/2011,05/02/2011,2011.0,13.0,0,2024,0,1,1,9191121.11,1,0.0,0.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,LA LIBERTAD/SANCHEZ CARRION/HUAMACHUCO,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,"Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y EQUIPO Y MATERIALES DE FONTANERÍA Y CALEFACCIÓN | Secundaria 2 - 7710 - ALQUILER Y ARRENDAMIENTO DE VEHÍCULOS AUTOMOTORES",0,0,0,0,23/09/2026 22:21,1,1,1,60.8,Alto
20477216952,SENCON SERVICIOS NEGOCIOS Y CONSTRUCCION S.A.C.,-,2024,LA LIBERTAD,03/04/2019,03/04/2019,2019.0,5.0,0,2022,2,1,1,6853566.12,1,1.0,1.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,LA LIBERTAD/TRUJILLO/TRUJILLO,Principal - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,3.0,Principal - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA | Secundaria 1 - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 2 - 4923 - TRANSPORTE DE CARGA POR CARRETERA,0,0,0,0,23/09/2026 22:21,1,1,1,60.8,Alto
20481030146,COVIDA S.R.L.,-,2024,LA LIBERTAD,20/11/2004,20/11/2004,2004.0,20.0,0,2024,0,1,1,400000.0,1,1.0,1.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,LA LIBERTAD/TRUJILLO/TRUJILLO,Principal - 4290 - CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL,3.0,"Principal - 4290 - CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL | Secundaria 1 - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 2 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",0,0,0,0,23/09/2026 22:24,1,1,1,60.8,Alto
20481146951,COAM CONTRATISTAS S.A.C.,-,2024,LA LIBERTAD,19/07/2005,20/09/2005,2005.0,19.0,0,2009,15,1,1,100000.0,1,1.0,1.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,LIMA/LIMA/MIRAFLORES,Principal - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,1.0,Principal - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,0,0,0,0,23/09/2026 22:24,1,1,1,60.8,Alto
20481265704,MAQUINARIA CONSTRUCCION Y MINERIA S.A.C,MACOMIC,2024,LA LIBERTAD,17/02/2006,17/02/2006,2006.0,18.0,0,2006,18,1,1,400000.0,1,1.0,1.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,LIMA/LIMA/MIRAFLORES,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,"Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 2 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",2,0,0,0,23/09/2026 22:24,1,1,1,60.8,Alto
20481446326,INVERSIONES Y NEGOCIOS GENERALES MAFER S.A.C.,-,2024,LA LIBERTAD,29/11/2006,29/11/2006,2006.0,18.0,0,2010,14,1,1,30307519.9,1,0.0,0.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,LIMA/LIMA/SAN MARTIN DE PORRES,Principal - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,3.0,"Principal - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA | Secundaria 1 - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN | Secundaria 2 - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y EQUIPO Y MATERIALES DE FONTANERÍA Y CALEFACCIÓN",1,0,0,0,23/09/2026 22:24,1,1,1,60.8,Alto
20481475342,R&C INGENIEROS CONSULTORES Y CONSTRUCTORES SRL,-,2024,LA LIBERTAD,10/01/2007,10/01/2007,2007.0,17.0,0,2015,9,1,1,113391376.6,1,0.0,0.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,LA LIBERTAD/TRUJILLO/TRUJILLO,Principal - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,3.0,Principal - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA | Secundaria 1 - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 2 - 9609 - OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.,1,0,0,0,23/09/2026 22:24,1,1,1,60.8,Alto
20481561265,CRES PERU CONTRATISTAS GENERALES S.A.C.,-,2024,LA LIBERTAD,03/05/2007,03/05/2007,2007.0,17.0,0,2014,10,4,1,24091806.09,4,0.0,0.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,LA LIBERTAD/TRUJILLO/TRUJILLO,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 6810 - ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS | Secundaria 2 - 4923 - TRANSPORTE DE CARGA POR CARRETERA,0,1,0,0,23/09/2026 22:24,1,1,1,60.8,Alto
20481871027,BRALCO CONTRATISTAS GENERALES S.R.L.,-,2024,LA LIBERTAD,16/05/2008,16/05/2008,2008.0,16.0,0,2009,15,1,1,110217857.41,1,0.0,0.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,LA LIBERTAD/TRUJILLO/TRUJILLO,Principal - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,3.0,"Principal - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN | Secundaria 1 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES | Secundaria 2 - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y EQUIPO Y MATERIALES DE FONTANERÍA Y CALEFACCIÓN",0,0,0,0,23/09/2026 22:25,1,1,1,60.8,Alto
20481966672,INMOBILIARIA Y CONSTRUCTORA SAN FERNANDO SAC,-,2024,LA LIBERTAD,25/08/2008,01/09/2008,2008.0,16.0,0,2015,9,1,1,66591549.0,1,0.0,0.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,LA LIBERTAD/TRUJILLO/TRUJILLO,Principal - 4290 - CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL,3.0,"Principal - 4290 - CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL | Secundaria 1 - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 2 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",0,0,0,0,23/09/2026 22:25,1,1,1,60.8,Alto
20482100580,VARGAS ESCALANTE CONSTRUCCIONES S.A.C.,-,2024,LA LIBERTAD,26/01/2009,26/01/2009,2009.0,15.0,0,2015,9,1,2,100000.0,1,1.0,1.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,LA LIBERTAD/PACASMAYO/GUADALUPE,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,"Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES | Secundaria 2 - 4210 - CONSTRUCCIÓN DE CARRETERAS Y VÍAS DE FERROCARRIL",1,0,0,0,23/09/2026 22:25,1,1,1,60.8,Alto
20482530592,CONSTRUCTORA JHAD S.A.C,-,2024,LA LIBERTAD,14/04/2010,14/04/2010,2010.0,14.0,0,2024,0,1,1,19663424.72,1,0.0,0.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,LAMBAYEQUE/CHICLAYO/CHICLAYO,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,"Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y EQUIPO Y MATERIALES DE FONTANERÍA Y CALEFACCIÓN | Secundaria 2 - 4923 - TRANSPORTE DE CARGA POR CARRETERA",0,0,0,0,23/09/2026 22:25,1,1,1,60.8,Alto
20494397090,CONSULTORES Y CONTRATISTAS HIDRO VIAL S.R.L.,C Y C HIDRO VIAL SRL,2024,LA LIBERTAD,05/12/2007,05/12/2007,2007.0,17.0,0,2010,14,1,1,213985145.94,1,0.0,0.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,AYACUCHO/HUAMANGA/AYACUCHO,Principal - 4290 - CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL,3.0,"Principal - 4290 - CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL | Secundaria 1 - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 2 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",0,0,0,0,23/09/2026 22:35,1,1,1,60.8,Alto
20494883865,CONSULTORES & CONTRATISTAS GENERALES FOREPT S.A.C.,FOREPT S.A.C.,2024,LA LIBERTAD,21/01/2010,21/01/2010,2010.0,14.0,0,2024,0,1,2,100000.0,1,1.0,1.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,AYACUCHO/HUAMANGA/AYACUCHO,Principal - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,3.0,Principal - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA | Secundaria 1 - 8299 - OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P. | Secundaria 2 - 0240 - SERVICIOS DE APOYO A LA SILVICULTURA,0,0,0,0,23/09/2026 22:35,1,1,1,60.8,Alto
20495042333,DLTA INGENIEROS CONSULTORES CONTRATISTAS S.R.L.,-,2024,LA LIBERTAD,02/09/2010,02/09/2010,2010.0,14.0,0,2018,6,1,1,85672831.46,1,0.0,0.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,AYACUCHO/HUAMANGA/AYACUCHO,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,"Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 2 - 7730 - ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",1,1,0,0,23/09/2026 22:36,1,1,1,60.8,Alto
20495875891,CONTRATISTAS NORPERU INGENIEROS ASOCIADOS SRL,-,2024,LA LIBERTAD,24/01/2007,24/01/2007,2007.0,17.0,0,2024,0,1,1,5236320.16,1,1.0,1.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,CAJAMARCA/CUTERVO/CUTERVO,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4290 - CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL | Secundaria 2 - 0210 - SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES,0,0,0,0,23/09/2026 22:36,1,1,1,60.8,Alto
20496014686,LA ROCA CONSTRUCCION Y MEDIO AMBIENTE SRL,-,2024,LA LIBERTAD,17/02/2025,01/02/2025,2025.0,,1,2019,5,1,1,500000.0,1,1.0,1.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,LIMA/LIMA/LINCE,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 7020 - ACTIVIDADES DE CONSULTORÍA DE GESTIÓN | Secundaria 2 - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,1,0,0,0,23/09/2026 22:36,1,1,1,60.8,Alto
20525333923,SERVAN CONTRATISTAS GENERALES S.R.L,-,2024,LA LIBERTAD,22/06/2006,22/06/2006,2006.0,18.0,0,2010,14,1,2,197163296.76,1,0.0,0.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,LIMA/LIMA/MIRAFLORES,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,"Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 2 - 4752 - VENTA AL POR MENOR DE ARTÍCULOS DE FERRETERÍA, PINTURAS Y PRODUCTOS DE VIDRIO EN COMERCIOS ESPECIALIZADOS",0,0,0,0,23/09/2026 22:40,1,1,1,60.8,Alto
20529656751,CONSTRUNORT CAJAMARCA S.R.L.,CONSTRUNORTCAJAMARCA,2024,LA LIBERTAD,01/02/2013,01/02/2013,2013.0,11.0,0,2021,3,2,1,253207203.78,2,0.0,0.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,LIMA/LIMA/LA VICTORIA,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,3.0,"Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 4923 - TRANSPORTE DE CARGA POR CARRETERA | Secundaria 2 - 4752 - VENTA AL POR MENOR DE ARTÍCULOS DE FERRETERÍA, PINTURAS Y PRODUCTOS DE VIDRIO EN COMERCIOS ESPECIALIZADOS",0,0,0,0,23/09/2026 22:45,1,1,1,60.8,Alto
20536612972,CMO GROUP S.A.C.,-,2024,LA LIBERTAD,25/06/2010,10/02/2011,2011.0,13.0,0,2012,12,1,5,819662336.32,1,0.0,0.0,SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,,LIMA/LIMA/MIRAFLORES,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS,2.0,Principal - 4100 - CONSTRUCCIÓN DE EDIFICIOS | Secundaria 1 - 3313 - REPARACIÓN DE EQUIPO ELECTRÓNICO Y ÓPTICO,1,0,0,0,23/09/2026 22:52,1,1,1,60.8,Alto
20537169207,RIVA SOCIEDAD ANONIMA INMOBILIARIA INDUSTRIAL COMERCIAL FINANCIERA Y AGROPECUARIA SUCURSAL DEL PERU,-,2024,LA LIBERTAD,20/08/2010,20/08/2010,2010.0,14.0,0,2012,12,1,2,100000.0,1,1.0,1.0,SUCURSALES O AG. DE EMP. EXTRANJ.,ACTIVO,HABIDO,,LIMA/LIMA/BARRANCO,Principal - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,2.0,Principal - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN | Secundaria 1 - 7020 - ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,4,1,0,0,23/09/2026 22:52,1,1,1,60.8,Alto
20539094930,INGENIEROS & ASOCIADOS SC SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,-,2024,LA LIBERTAD,22/03/2013,01/03/2013,2013.0,11.0,0,2020,4,1,1,30922459.87,1,0.0,0.0,SOC.COM.RESPONS. LTDA,ACTIVO,HABIDO,,LA LIBERTAD/TRUJILLO/HUANCHACO,Principal - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,3.0,"Principal - 4390 - OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN | Secundaria 1 - 4922 - OTRAS ACTIVIDADES DE TRANSPORTE POR VÍA TERRESTRE | Secundaria 2 - 4663 - VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y EQUIPO Y MATERIALES DE FONTANERÍA Y CALEFACCIÓN",0,0,0,0,23/09/2026 22:52,1,1,1,60.8,Alto
