ruc,anio,gore,n_contratos,n_gores_anio
20461112227,2021,JUNIN,1,1
20486573113,2021,JUNIN,1,1
20486693283,2021,JUNIN,1,1
20486887568,2021,JUNIN,1,1
20486960401,2021,JUNIN,1,2
20487499685,2021,JUNIN,1,2
20487950301,2021,JUNIN,1,2
20494854172,2021,JUNIN,3,1
20495042333,2021,JUNIN,1,1
20514402346,2021,JUNIN,1,1
20523070071,2021,JUNIN,1,1
20528901361,2021,JUNIN,1,1
20529166151,2021,JUNIN,1,1
20541462644,2021,JUNIN,1,1
20568071876,2021,JUNIN,1,1
20568112220,2021,JUNIN,1,1
20568223307,2021,JUNIN,1,1
20568437528,2021,JUNIN,1,1
20568535376,2021,JUNIN,1,1
20568838352,2021,JUNIN,1,1
20568992351,2021,JUNIN,1,1
20574732400,2021,JUNIN,1,1
20600683650,2021,JUNIN,1,2
20602262201,2021,JUNIN,1,1
20602979173,2021,JUNIN,2,2
20604269009,2021,JUNIN,1,2
20604384002,2021,JUNIN,1,1
10266854892,2021,LA LIBERTAD,1,1
20121907608,2021,LA LIBERTAD,1,1
20134483611,2021,LA LIBERTAD,1,1
20453649840,2021,LA LIBERTAD,1,2
20477150242,2021,LA LIBERTAD,1,2
20477458883,2021,LA LIBERTAD,1,1
20477460357,2021,LA LIBERTAD,1,1
20477617434,2021,LA LIBERTAD,1,1
20481813841,2021,LA LIBERTAD,1,3
20482206574,2021,LA LIBERTAD,1,1
20489304687,2021,LA LIBERTAD,1,2
20495865747,2021,LA LIBERTAD,1,2
20495934498,2021,LA LIBERTAD,1,1
20501430669,2021,LA LIBERTAD,2,1
20504553516,2021,LA LIBERTAD,1,1
20529440074,2021,LA LIBERTAD,1,1
20529656751,2021,LA LIBERTAD,2,1
20529688017,2021,LA LIBERTAD,1,1
20531750749,2021,LA LIBERTAD,1,1
20539094930,2021,LA LIBERTAD,4,1
20544771478,2021,LA LIBERTAD,2,1
20559687643,2021,LA LIBERTAD,1,1
20603089619,2021,LA LIBERTAD,1,1
20603716176,2021,LA LIBERTAD,1,1
20606525690,2021,LA LIBERTAD,1,1
99000028271,2021,LA LIBERTAD,1,1
20348938704,2021,LAMBAYEQUE,1,1
20353947614,2021,LAMBAYEQUE,2,1
20409234462,2021,LAMBAYEQUE,1,1
20479892998,2021,LAMBAYEQUE,1,1
20480403496,2021,LAMBAYEQUE,1,1
20480686692,2021,LAMBAYEQUE,1,1
20481813841,2021,LAMBAYEQUE,1,3
20487913791,2021,LAMBAYEQUE,1,1
20487950301,2021,LAMBAYEQUE,2,2
20505655215,2021,LAMBAYEQUE,1,1
20526193513,2021,LAMBAYEQUE,1,1
20545316561,2021,LAMBAYEQUE,1,1
20561274968,2021,LAMBAYEQUE,1,1
20568161786,2021,LAMBAYEQUE,1,1
20602235352,2021,LAMBAYEQUE,1,1
20602922368,2021,LAMBAYEQUE,1,1
20231662244,2021,LIMA,1,1
20407917104,2021,LIMA,2,1
20408135517,2021,LIMA,1,1
20445200019,2021,LIMA,1,1
20494682703,2021,LIMA,1,1
20523386469,2021,LIMA,1,1
20532064768,2021,LIMA,1,1
20533990615,2021,LIMA,1,1
20534094079,2021,LIMA,1,1
20541653156,2021,LIMA,1,1
20600386981,2021,LIMA,1,1
20600721179,2021,LIMA,2,1
20602076882,2021,LIMA,2,1
20603550677,2021,LIMA,2,1
20607462403,2021,LIMA,1,1
10053878488,2021,LORETO,1,1
20393358247,2021,LORETO,1,1
20393584336,2021,LORETO,1,1
20393633990,2021,LORETO,2,1
20450256243,2021,LORETO,1,1
20451375548,2021,LORETO,2,1
20489304687,2021,LORETO,1,2
20489627770,2021,LORETO,1,1
20493606736,2021,LORETO,1,1
20493748018,2021,LORETO,1,1
20493874587,2021,LORETO,2,1
20528115897,2021,LORETO,2,1
20528181334,2021,LORETO,1,1
20528255982,2021,LORETO,2,1
20528428755,2021,LORETO,1,1
20529066521,2021,LORETO,1,2
20531396635,2021,LORETO,1,1
20541181556,2021,LORETO,2,1
20542531097,2021,LORETO,1,1
20567140220,2021,LORETO,2,1
20600114965,2021,LORETO,1,1
20600898800,2021,LORETO,1,1
20601202574,2021,LORETO,1,1
20602078788,2021,LORETO,1,1
20344483702,2021,PASCO,1,2
20456317376,2021,PASCO,1,2
20486783606,2021,PASCO,1,1
20486867290,2021,PASCO,1,1
20489682363,2021,PASCO,2,1
20529230851,2021,PASCO,1,1
20534029927,2021,PASCO,1,2
20573212020,2021,PASCO,1,1
20600079787,2021,PASCO,1,1
20600819331,2021,PASCO,2,1
20600977661,2021,PASCO,1,2
20275449751,2021,PIURA,1,1
20357499691,2021,PIURA,1,1
20426128803,2021,PIURA,1,1
20440577947,2021,PIURA,1,1
20477150242,2021,PIURA,1,2
20477366172,2021,PIURA,1,2
20483778075,2021,PIURA,1,1
20483851171,2021,PIURA,1,1
20491656761,2021,PIURA,1,1
20525491677,2021,PIURA,1,1
20525985751,2021,PIURA,2,1
20526146191,2021,PIURA,1,1
20526331762,2021,PIURA,1,1
20528964878,2021,PIURA,1,1
20530035671,2021,PIURA,1,1
20530091075,2021,PIURA,1,1
20600456467,2021,PIURA,1,1
20600625498,2021,PIURA,1,1
20447677831,2021,PUNO,1,1
20448307523,2021,PUNO,1,1
20448497047,2021,PUNO,1,1
20448562396,2021,PUNO,2,1
20486960401,2021,PUNO,1,2
20542703483,2021,PUNO,1,1
20450324184,2021,SAN MARTIN,1,1
20477366172,2021,SAN MARTIN,1,2
20489174023,2021,SAN MARTIN,1,1
20489747244,2021,SAN MARTIN,1,1
20542312450,2021,SAN MARTIN,1,2
20542330512,2021,SAN MARTIN,1,1
20542374218,2021,SAN MARTIN,2,1
20572218369,2021,SAN MARTIN,1,1
20572250505,2021,SAN MARTIN,1,1
20600179714,2021,SAN MARTIN,1,1
20600453565,2021,SAN MARTIN,1,1
20601456070,2021,SAN MARTIN,1,1
20603358504,2021,SAN MARTIN,1,1
10004760617,2021,TACNA,3,1
20119916705,2021,TACNA,1,1
20133176404,2021,TACNA,1,1
20406330495,2021,TACNA,2,1
20447647096,2021,TACNA,2,1
20449384050,2021,TACNA,1,1
20456317376,2021,TACNA,3,2
20477530665,2021,TACNA,1,2
20513051833,2021,TACNA,1,2
20519658501,2021,TACNA,1,1
20520021338,2021,TACNA,1,1
20521378531,2021,TACNA,1,1
20532656347,2021,TACNA,3,1
20533059890,2021,TACNA,2,1
20601016347,2021,TACNA,1,1
20601265002,2021,TACNA,1,1
20601898463,2021,TACNA,3,1
20604357951,2021,TACNA,1,1
20409211411,2021,TUMBES,1,1
20409461019,2021,TUMBES,1,1
20479087360,2021,TUMBES,1,1
20484206997,2021,TUMBES,1,1
20488071603,2021,TUMBES,1,1
20525460950,2021,TUMBES,1,1
20529698918,2021,TUMBES,1,1
20600983025,2021,TUMBES,1,1
20604329494,2021,TUMBES,1,1
20352428648,2021,UCAYALI,1,1
20393242532,2021,UCAYALI,1,1
20393345188,2021,UCAYALI,1,1
20393352800,2021,UCAYALI,1,1
20393665506,2021,UCAYALI,1,1
20393758423,2021,UCAYALI,2,1
20393877431,2021,UCAYALI,2,1
20493477405,2021,UCAYALI,1,1
20501522601,2021,UCAYALI,1,1
20541706454,2021,UCAYALI,1,2
20567223605,2021,UCAYALI,1,1
20603607610,2021,UCAYALI,1,1
20607266175,2021,UCAYALI,1,1
20450186440,2022,AMAZONAS,1,2
20450326713,2022,AMAZONAS,2,2
20479764728,2022,AMAZONAS,3,1
20479790303,2022,AMAZONAS,1,1
20480134142,2022,AMAZONAS,1,1
20480188404,2022,AMAZONAS,1,1
20480391200,2022,AMAZONAS,1,1
20480427913,2022,AMAZONAS,1,1
20480811934,2022,AMAZONAS,1,1
20487419754,2022,AMAZONAS,1,1
20487499685,2022,AMAZONAS,1,1
20487818535,2022,AMAZONAS,1,1
20487980634,2022,AMAZONAS,1,1
20495136231,2022,AMAZONAS,1,1
20528217461,2022,AMAZONAS,1,1
20572141986,2022,AMAZONAS,1,1
20600504500,2022,AMAZONAS,1,1
20600542525,2022,AMAZONAS,1,1
20601832811,2022,AMAZONAS,1,1
20602979173,2022,AMAZONAS,2,1
20605899227,2022,AMAZONAS,1,1
20608056026,2022,AMAZONAS,1,1
20608518763,2022,AMAZONAS,1,1
10166241141,2022,ANCASH,1,1
20107211480,2022,ANCASH,1,1
20136318323,2022,ANCASH,1,1
20144691173,2022,ANCASH,1,3
20260236611,2022,ANCASH,4,1
20274419637,2022,ANCASH,1,1
20319536699,2022,ANCASH,1,1
20323041092,2022,ANCASH,5,1
20339480932,2022,ANCASH,2,1
20407011920,2022,ANCASH,1,1
20407769407,2022,ANCASH,1,1
20407851677,2022,ANCASH,1,1
20407863250,2022,ANCASH,4,1
20407871279,2022,ANCASH,1,1
20407978588,2022,ANCASH,1,1
20408010498,2022,ANCASH,1,1
20408018804,2022,ANCASH,2,1
