id_contrato,ruc,gore,fecha,anio,monto_contrato
1974,20528003401,CUSCO,21/07/2021,2021,3294847.5
1973,20547097069,CUSCO,23/08/2021,2021,2724180.45
2309,10206701248,HUANCAVELICA,29/12/2021,2021,583501.6
2309,10295928234,HUANCAVELICA,29/12/2021,2021,583501.6
2315,10410713506,HUANCAVELICA,30/11/2021,2021,7871916.04
2309,20451961196,HUANCAVELICA,29/12/2021,2021,583501.6
2313,20452840775,HUANCAVELICA,01/12/2021,2021,2746808.66
2311,20486136830,HUANCAVELICA,17/12/2021,2021,747531.9
2321,20486404273,HUANCAVELICA,29/04/2021,2021,8711443.23
2316,20486404273,HUANCAVELICA,13/09/2021,2021,3659163.17
2309,20486974886,HUANCAVELICA,29/12/2021,2021,583501.6
2309,20487064522,HUANCAVELICA,29/12/2021,2021,583501.6
2313,20494341973,HUANCAVELICA,01/12/2021,2021,2746808.66
2310,20494665876,HUANCAVELICA,20/12/2021,2021,2385054.75
2315,20494947774,HUANCAVELICA,30/11/2021,2021,7871916.04
2314,20494951020,HUANCAVELICA,30/11/2021,2021,4168833.7
2310,20494951020,HUANCAVELICA,20/12/2021,2021,2385054.75
2317,20503865549,HUANCAVELICA,21/07/2021,2021,1997563.78
2317,20520970704,HUANCAVELICA,21/07/2021,2021,1997563.78
2312,20568355041,HUANCAVELICA,01/12/2021,2021,4069522.96
2321,20600180771,HUANCAVELICA,29/04/2021,2021,8711443.23
2316,20600601891,HUANCAVELICA,13/09/2021,2021,3659163.17
2314,20600661966,HUANCAVELICA,30/11/2021,2021,4168833.7
2318,20600977661,HUANCAVELICA,20/07/2021,2021,168571515.92
2309,20601480493,HUANCAVELICA,29/12/2021,2021,583501.6
2309,20601714966,HUANCAVELICA,29/12/2021,2021,583501.6
2320,20604269009,HUANCAVELICA,07/06/2021,2021,50900000.0
2309,20604315582,HUANCAVELICA,29/12/2021,2021,583501.6
2319,20605034684,HUANCAVELICA,10/06/2021,2021,185541354.74
2320,20605487051,HUANCAVELICA,07/06/2021,2021,50900000.0
2319,99000030216,HUANCAVELICA,10/06/2021,2021,185541354.74
2769,20393151812,HUANUCO,28/04/2021,2021,2062409.26
2771,20489536979,HUANUCO,04/03/2021,2021,679069.34
2768,20492255981,HUANUCO,11/05/2021,2021,31524150.94
2767,20516615088,HUANUCO,31/05/2021,2021,904193.7
2770,20542191059,HUANUCO,07/04/2021,2021,1136085.91
2766,20542191059,HUANUCO,30/12/2021,2021,1123271.74
2768,20547097069,HUANUCO,11/05/2021,2021,31524150.94
2766,20600106351,HUANUCO,30/12/2021,2021,1123271.74
2769,20601263158,HUANUCO,28/04/2021,2021,2062409.26
2768,20602631258,HUANUCO,11/05/2021,2021,31524150.94
2771,20604540764,HUANUCO,04/03/2021,2021,679069.34
2770,20606474254,HUANUCO,07/04/2021,2021,1136085.91
3083,20367759551,ICA,09/04/2021,2021,34712531.68
3079,20452468418,ICA,03/11/2021,2021,3254433.45
3082,20508326433,ICA,06/10/2021,2021,4526343.29
3081,20527267511,ICA,21/10/2021,2021,13881746.83
3081,20527479704,ICA,21/10/2021,2021,13881746.83
3080,20527479704,ICA,29/10/2021,2021,4542407.28
3395,20232650444,JUNIN,19/10/2021,2021,7073020.9
3386,20377890117,JUNIN,29/11/2021,2021,11091790.43
3399,20407412592,JUNIN,16/06/2021,2021,8918442.03
3393,20438494171,JUNIN,26/10/2021,2021,49940957.71
3398,20444927098,JUNIN,09/08/2021,2021,20383418.31
3397,20461112227,JUNIN,29/09/2021,2021,9112696.98
3394,20486573113,JUNIN,19/10/2021,2021,7633585.66
3394,20486693283,JUNIN,19/10/2021,2021,7633585.66
3396,20486887568,JUNIN,18/10/2021,2021,2475696.01
3398,20486960401,JUNIN,09/08/2021,2021,20383418.31
3393,20487499685,JUNIN,26/10/2021,2021,49940957.71
3393,20487950301,JUNIN,26/10/2021,2021,49940957.71
3399,20494854172,JUNIN,16/06/2021,2021,8918442.03
3389,20494854172,JUNIN,09/11/2021,2021,1330544.75
3385,20494854172,JUNIN,23/12/2021,2021,2024906.5
3383,20495042333,JUNIN,30/12/2021,2021,3423667.13
3391,20514402346,JUNIN,29/10/2021,2021,17054300.53
