DEPARTAMENTO,FECHA,EMPRESA_1,EMPRESA_2,EMPRESA_3,EMPRESA_4,EMPRESA_5,EMPRESA_6,EMPRESA_7,EMPRESA_8,EMPRESA_9,MONTO
AMAZONAS,06/12/2016,20487611191,,,,,,,,,"448,738.13"
AMAZONAS,16/11/2016,20487611191,20488057287,,,,,,,,"634,869.50"
AMAZONAS,11/11/2016,20600143051,20480789408,20539094000,20480427913,20480188404,,,,,"2,121,789.58"
AMAZONAS,08/11/2016,20479790303,20487611191,,,,,,,,"439,738.61"
AMAZONAS,08/11/2016,20480546921,,,,,,,,,"1,113,487.47"
AMAZONAS,04/11/2016,20450278051,20480052090,,,,,,,,"29,250,000.00"
AMAZONAS,19/09/2016,20600094964,20561418129,20487611191,,,,,,,"3,537,725.36"
AMAZONAS,19/09/2016,20487358194,20488083105,20600039335,,,,,,,"3,461,279.12"
AMAZONAS,15/09/2016,20479840688,,,,,,,,,"2,900,861.77"
AMAZONAS,05/09/2016,20480052090,20508637358,,,,,,,,"3,020,839.84"
AMAZONAS,22/08/2016,20600197739,20487499685,,,,,,,,"2,767,000.00"
AMAZONAS,29/12/2017,20496118112,,,,,,,,,"522,000.00"
AMAZONAS,29/12/2017,20600143051,20487499685,20480059850,20539094000,,,,,,"2,445,643.02"
AMAZONAS,14/12/2017,20487499685,20602061036,,,,,,,,"1,180,467.00"
AMAZONAS,07/12/2017,20480814798,20392368427,,,,,,,,"1,113,766.25"
AMAZONAS,07/12/2017,20480113064,20561260070,,,,,,,,"967,289.00"
AMAZONAS,07/12/2017,20507983481,20539107004,,,,,,,,"1,567,562.28"
AMAZONAS,07/12/2017,20480791305,,,,,,,,,"619,661.89"
AMAZONAS,29/11/2017,20450325661,20480427913,20487517098,,,,,,,"2,875,288.83"
AMAZONAS,27/11/2017,20480427913,20480762976,20488057287,,,,,,,"668,144.26"
AMAZONAS,23/11/2017,20600197739,20480052090,20480833822,,,,,,,"8,542,866.15"
AMAZONAS,20/11/2017,20601738873,20487854841,,,,,,,,"602,357.21"
AMAZONAS,17/11/2017,20600197739,20450278051,20508637358,,,,,,,"13,839,855.42"
AMAZONAS,13/11/2017,20570581709,20394882489,,,,,,,,"3,294,627.35"
AMAZONAS,07/11/2017,20487592545,,,,,,,,,"1,334,218.42"
AMAZONAS,07/11/2017,20480833822,20600197739,,,,,,,,"2,696,874.42"
AMAZONAS,07/11/2017,20570527593,20487809463,20539073771,,,,,,,"4,493,665.07"
AMAZONAS,06/11/2017,20480139705,20480590661,,,,,,,,"728,531.55"
AMAZONAS,17/10/2017,20600197739,20480833822,20480052090,,,,,,,"7,299,713.38"
AMAZONAS,10/10/2017,20600094964,20480791305,20480052090,,,,,,,"2,220,311.18"
AMAZONAS,14/09/2017,20488057287,20601921431,,,,,,,,"343,200.00"
AMAZONAS,14/09/2017,20601921431,20488057287,,,,,,,,"358,860.00"
AMAZONAS,14/08/2017,20600197739,20480052090,,,,,,,,"5,230,039.53"
AMAZONAS,21/07/2017,20480188404,20487517098,,,,,,,,"1,296,221.99"
AMAZONAS,10/07/2017,20561418129,20480059850,,,,,,,,"3,000,000.00"
AMAZONAS,07/07/2017,20488020871,20480833822,20479840688,,,,,,,"2,733,012.58"
AMAZONAS,12/06/2017,20561260070,,,,,,,,,"125,317.51"
AMAZONAS,20/03/2019,20571395283,20480059850,,,,,,,,"6,028,278.15"
AMAZONAS,20/03/2019,20479790303,20480836252,,,,,,,,"6,028,278.15"
AMAZONAS,06/12/2018,20453649840,20570818644,,,,,,,,"1,042,962.85"
AMAZONAS,06/12/2018,20601921431,20488057287,,,,,,,,"800,000.00"
AMAZONAS,15/11/2018,20186871864,20531309091,,,,,,,,"4,145,124.19"
AMAZONAS,30/10/2018,20601047226,20480836252,,,,,,,,"3,767,481.84"
AMAZONAS,17/10/2018,20503981298,20480214928,,,,,,,,"1,548,889.44"
AMAZONAS,04/10/2018,20600798937,20495973981,,,,,,,,"1,118,465.93"
AMAZONAS,04/10/2018,20600798937,20495973981,,,,,,,,"1,298,247.48"
AMAZONAS,04/10/2018,20480059850,20600143051,,,,,,,,"1,458,028.47"
AMAZONAS,04/10/2018,20600798937,20495973981,,,,,,,,"944,329.52"
AMAZONAS,04/10/2018,20480059850,20600143051,,,,,,,,"1,268,547.40"
AMAZONAS,13/09/2018,20487499685,20603036744,20480791305,,,,,,,"2,808,847.60"
AMAZONAS,07/08/2018,20561415456,20450299139,20602736106,,,,,,,"1,435,000.00"
AMAZONAS,24/07/2018,20392368427,20480590661,,,,,,,,"4,327,587.70"
AMAZONAS,18/07/2018,20602263526,20480546921,20539073771,,,,,,,"1,525,125.00"
AMAZONAS,13/07/2018,20479683728,20480052090,,,,,,,,"10,240,336.59"
AMAZONAS,13/07/2018,20480052090,20480833822,,,,,,,,"11,325,621.58"
AMAZONAS,26/06/2018,20480791305,20480052090,20487499685,,,,,,,"5,932,111.67"
AMAZONAS,01/10/2020,20270971891,,,,,,,,,"1,606,886.41"
AMAZONAS,27/11/2019,20479840688,,,,,,,,,"198,407.09"
AMAZONAS,12/11/2019,20561152005,20487499685,,,,,,,,"3,348,900.00"
AMAZONAS,12/11/2019,20480427913,,,,,,,,,"1,540,000.00"
AMAZONAS,08/11/2019,20480836252,20487499685,,,,,,,,"4,708,000.00"
AMAZONAS,08/11/2019,20453649840,20570818644,,,,,,,,"3,278,860.82"
AMAZONAS,08/11/2019,20600162412,20561152005,,,,,,,,"2,147,000.00"
AMAZONAS,29/10/2019,20563373009,99000027401,,,,,,,,"95,863,757.07"
AMAZONAS,24/10/2019,20479764728,,,,,,,,,"640,110.39"
AMAZONAS,16/10/2019,20480427913,,,,,,,,,"1,139,961.15"
AMAZONAS,11/10/2019,20480009755,20479790303,,,,,,,,"8,032,132.00"
AMAZONAS,11/10/2019,20600924169,20480590661,,,,,,,,"769,243.42"
AMAZONAS,02/10/2019,20539013441,20600924169,,,,,,,,"794,854.04"
AMAZONAS,20/09/2019,20539183878,20480214928,20148020966,,,,,,,"3,567,296.85"
AMAZONAS,17/09/2019,20494079713,20602570534,,,,,,,,"2,795,000.00"
AMAZONAS,18/07/2019,20603512040,20450119254,,,,,,,,"1,964,517.17"
AMAZONAS,11/07/2019,20523790324,,,,,,,,,"1,158,198.01"
AMAZONAS,09/07/2019,20450278051,20480836252,,,,,,,,"5,037,000.00"
AMAZONAS,21/06/2019,20450119254,20604115923,,,,,,,,"2,902,924.35"
AMAZONAS,20/05/2019,20570818644,20495973981,,,,,,,,"2,824,281.38"
AMAZONAS,20/05/2019,20450326713,,,,,,,,,"4,690,000.00"
AMAZONAS,11/04/2019,20539013441,,,,,,,,,"803,860.50"
AMAZONAS,19/11/2020,20552390025,20602272304,,,,,,,,"707,991.02"
AMAZONAS,18/11/2020,20479764728,20600504500,,,,,,,,"207,657.55"
AMAZONAS,13/10/2020,20480836252,,,,,,,,,"187,575.89"
AMAZONAS,01/10/2020,20493987195,20488057287,,,,,,,,"357,535.31"
AMAZONAS,01/10/2020,20487592545,20488057287,,,,,,,,"471,854.80"
AMAZONAS,25/09/2020,20601649161,20570757831,,,,,,,,"932,472.16"
AMAZONAS,25/09/2020,20604434972,,,,,,,,,"270,197.19"
